benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,284,8,284354329,3,J3,AlexPelochoJaimeAgent,TristanAgent,CrabisaAgent,AlexPelochoJaimeAgent|TristanAgent|CrabisaAgent,1,10,1,J3,HeuristicAgent,36,turn_P3,3,4,2,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,6,285154327,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,16,turn_P1,7,10,4,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,5,285154326,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,16,turn_P1,4,10,6,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,4,285154325,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,20,turn_P1,3,10,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,1,285254322,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,11,1,J2,HeuristicAgent,9,turn_P2,2,4,11,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,7,285154328,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,20,turn_P1,6,10,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,5,285254326,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,0,6,2,J3,EdoAgent,8,turn_P3,2,4,6,11,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,3,285154324,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,0,8,2,J3,EdoAgent,20,turn_P3,5,8,8,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,2,285254323,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,0,6,2,J1,TristanAgent,12,turn_P1,3,10,6,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,6,285254327,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,13,1,J2,HeuristicAgent,9,turn_P2,2,2,13,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,1,285154322,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,27,turn_P1,3,10,6,9,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,4,285254325,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J2,HeuristicAgent,19,turn_P2,2,4,10,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,9,285154330,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,19,turn_P1,2,10,4,5,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,9,285254330,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J2,HeuristicAgent,9,turn_P2,2,3,10,5,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,8,285254329,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J2,HeuristicAgent,11,turn_P2,3,6,10,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,3,285254324,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,12,1,J2,HeuristicAgent,18,turn_P2,5,6,12,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,0,285354321,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J3,HeuristicAgent,13,turn_P3,2,2,3,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,6,285354327,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J3,HeuristicAgent,8,turn_P3,2,2,3,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,3,285354324,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J3,HeuristicAgent,11,turn_P3,5,4,2,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,5,285354326,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J3,HeuristicAgent,13,turn_P3,3,4,2,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,7,285254328,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J2,HeuristicAgent,19,turn_P2,4,6,10,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,2,285354323,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J3,HeuristicAgent,18,turn_P3,3,3,6,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,8,285354329,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,0,5,2,J1,TristanAgent,11,turn_P1,4,10,2,5,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,7,285354328,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,11,1,J3,HeuristicAgent,13,turn_P3,3,4,2,11,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,3,286054324,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,10,turn_P0,10,4,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,1,285354322,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J3,HeuristicAgent,15,turn_P3,5,3,4,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,2,286054323,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,11,turn_P0,10,4,6,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,0,286054321,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,14,turn_P0,10,4,6,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,1,286054322,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,14,turn_P0,10,4,4,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,7,286054328,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,10,turn_P0,10,2,3,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,5,286054326,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,18,turn_P0,10,2,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,4,285354325,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,0,7,3,J2,EdoAgent,28,turn_P2,7,4,10,7,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,1,286154322,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,12,turn_P1,4,10,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,2,286154323,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,11,turn_P1,3,10,4,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,4,286054325,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,12,1,J0,HeuristicAgent,20,turn_P0,12,6,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,9,286054330,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,2,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,8,286054329,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,17,turn_P0,10,4,4,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,9,285354330,3,J3,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,12,1,J3,HeuristicAgent,26,turn_P3,4,6,5,12,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,6,286054327,0,J0,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J0,HeuristicAgent,22,turn_P0,10,2,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,0,286154321,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,16,turn_P1,2,10,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,4,286154325,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,14,turn_P1,3,10,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,5,286154326,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,13,turn_P1,2,10,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,3,286154324,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,17,turn_P1,4,10,4,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,1,286254322,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,0,2,3,J1,TristanAgent,11,turn_P1,2,10,2,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,6,286254327,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,11,1,J2,HeuristicAgent,10,turn_P2,2,3,11,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,8,286154329,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,21,turn_P1,2,10,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,6,286154327,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,20,turn_P1,6,10,4,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,5,286254326,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J2,HeuristicAgent,12,turn_P2,4,4,10,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,1,286354322,3,J3,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,11,1,J3,HeuristicAgent,8,turn_P3,2,3,3,11,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,0,286254321,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,0,6,2,J0,AlexPelochoJaimeAgent,20,turn_P0,10,3,6,5,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,9,286254330,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J2,HeuristicAgent,14,turn_P2,2,3,10,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,7,286154328,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,20,turn_P1,4,10,6,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,3,286254324,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,13,1,J2,HeuristicAgent,19,turn_P2,2,4,13,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,8,286254329,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,0,3,4,J1,TristanAgent,16,turn_P1,3,10,3,6,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,7,286254328,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J2,HeuristicAgent,17,turn_P2,5,4,10,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,2,286354323,3,J3,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J3,HeuristicAgent,9,turn_P3,2,2,5,10,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,9,286154330,1,J1,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J1,HeuristicAgent,22,turn_P1,7,10,6,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,4,286254325,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,12,1,J2,HeuristicAgent,24,turn_P2,4,6,12,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,3,286354324,3,J3,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,0,7,2,J1,TristanAgent,17,turn_P1,4,10,2,7,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,287,0,287054321,0,J0,AlexPelochoJaimeAgent,TristanAgent,SigmaAgent,AlexPelochoJaimeAgent|TristanAgent|SigmaAgent,1,11,1,J0,HeuristicAgent,9,turn_P0,11,2,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,287,1,287054322,0,J0,AlexPelochoJaimeAgent,TristanAgent,SigmaAgent,AlexPelochoJaimeAgent|TristanAgent|SigmaAgent,1,10,1,J0,HeuristicAgent,10,turn_P0,10,2,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,4,286354325,3,J3,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,11,1,J3,HeuristicAgent,15,turn_P3,4,2,2,11,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,9,286354330,3,J3,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,0,5,2,J1,TristanAgent,13,turn_P1,2,10,3,5,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,286,2,286254323,2,J2,AlexPelochoJaimeAgent,TristanAgent,PabloAleixAlexAgent,AlexPelochoJaimeAgent|TristanAgent|PabloAleixAlexAgent,1,10,1,J2,HeuristicAgent,25,turn_P2,6,4,10,4,
